epoch,acc,iou,loss,lr,precision_1,recall_1,val_acc,val_iou,val_loss,val_precision_1,val_recall_1
0,0.36399492621421814,0.05815558880567551,0.960963785648346,1e-04,0.06220678240060806,0.8281086087226868,0.16208748519420624,0.04779757931828499,0.6994104981422424,0.05247292295098305,0.9175790548324585
1,0.5447202324867249,0.0717596709728241,0.8500950932502747,1e-04,0.09266161918640137,0.9163548350334167,0.8967503905296326,0.04783794283866882,0.683417797088623,0.17334407567977905,0.27818378806114197
2,0.7087609171867371,0.08724922686815262,0.7225380539894104,1e-04,0.14462986588478088,0.9746460318565369,0.9408290982246399,0.047670766711235046,0.674019992351532,0.04272335767745972,0.008244729600846767
3,0.8148829936981201,0.09999242424964905,0.5964318513870239,1e-04,0.2124439924955368,0.9885969758033752,0.9477731585502625,0.04764435067772865,0.6650216579437256,0.0023882633540779352,9.234097524313256e-05
4,0.899754524230957,0.1108987107872963,0.5077371001243591,1e-04,0.3338578939437866,0.9908888936042786,0.9495564103126526,0.04759690538048744,0.6531246304512024,0.0,0.0
5,0.9456122517585754,0.11968103051185608,0.4527401328086853,1e-04,0.4822234511375427,0.992099940776825,0.9497083425521851,0.04747871682047844,0.6398687958717346,0.0,0.0
6,0.9666368961334229,0.1266525238752365,0.4155634641647339,1e-04,0.6053404211997986,0.9922041296958923,0.9497083425521851,0.04724930226802826,0.6261136531829834,0.0,0.0
7,0.9768210053443909,0.13294322788715363,0.3888450264930725,1e-04,0.6904495358467102,0.9939317107200623,0.9497083425521851,0.04701166972517967,0.6122976541519165,0.0,0.0
8,0.9828482270240784,0.13774199783802032,0.3697424829006195,1e-04,0.7529932856559753,0.9945003390312195,0.9497083425521851,0.046832919120788574,0.6002054810523987,0.0,0.0
9,0.987260639667511,0.14114227890968323,0.35666677355766296,1e-04,0.8065933585166931,0.9944873452186584,0.9497083425521851,0.046720463782548904,0.5892633199691772,0.0,0.0
10,0.9904998540878296,0.14367002248764038,0.3476945459842682,1e-04,0.851055383682251,0.9944482445716858,0.9497083425521851,0.04663084074854851,0.5789784789085388,0.0,0.0
11,0.9926533102989197,0.14548638463020325,0.34136196970939636,1e-04,0.8837480545043945,0.9937667846679688,0.9497083425521851,0.04658648744225502,0.5662055015563965,0.0,0.0
12,0.994000256061554,0.14680273830890656,0.3367898166179657,1e-04,0.9059155583381653,0.9925166368484497,0.9497083425521851,0.046516116708517075,0.5522332787513733,0.0,0.0
13,0.9946792721748352,0.14758606255054474,0.3332931101322174,1e-04,0.9195169806480408,0.9886230230331421,0.9497083425521851,0.04641715809702873,0.5379090309143066,0.0,0.0
14,0.9941428303718567,0.14673607051372528,0.3318834900856018,1e-04,0.9229288101196289,0.9716596007347107,0.9497083425521851,0.046294063329696655,0.5232917070388794,0.0,0.0
15,0.9947963356971741,0.14760154485702515,0.3286054730415344,1e-04,0.9350557923316956,0.9713210463523865,0.9497083425521851,0.04614711180329323,0.5085016489028931,0.0,0.0
16,0.9952412247657776,0.14978046715259552,0.3253709077835083,1e-04,0.9343743324279785,0.9813002943992615,0.9497083425521851,0.04596608877182007,0.4946068823337555,0.0,0.0
17,0.9965144395828247,0.15100842714309692,0.32188498973846436,1e-04,0.9527212381362915,0.987359881401062,0.9497083425521851,0.04576190933585167,0.4816901981830597,0.0,0.0
18,0.9965236186981201,0.15238182246685028,0.31951284408569336,1e-04,0.951185941696167,0.9892741441726685,0.9497083425521851,0.04550566151738167,0.4697171151638031,0.0,0.0
19,0.9970637559890747,0.15370123088359833,0.31685948371887207,1e-04,0.9575127363204956,0.9948692917823792,0.9497083425521851,0.045543741434812546,0.45853063464164734,0.0,0.0
20,0.9974228143692017,0.154393270611763,0.3146990239620209,1e-04,0.9643616676330566,0.9939273595809937,0.9497083425521851,0.04588969424366951,0.44857895374298096,0.0,0.0
21,0.9976444840431213,0.15525305271148682,0.3126259446144104,1e-04,0.9675982594490051,0.9956419467926025,0.9497083425521851,0.04603339359164238,0.43920382857322693,0.0,0.0
22,0.9976673722267151,0.15619893372058868,0.31070414185523987,1e-04,0.9673657417297363,0.9966750144958496,0.9497110247612,0.046101778745651245,0.43030503392219543,1.0,5.2766270528081805e-05
23,0.9976992011070251,0.1569191813468933,0.3089160919189453,1e-04,0.9683470129966736,0.9960803389549255,0.9497129917144775,0.04617343470454216,0.42151501774787903,1.0,9.234097524313256e-05
24,0.9978805780410767,0.15730707347393036,0.30721980333328247,1e-04,0.9728914499282837,0.9940445423126221,0.9497089982032776,0.046161532402038574,0.4134977459907532,0.6666666865348816,2.6383135264040902e-05
25,0.9980326890945435,0.15763698518276215,0.305538535118103,1e-04,0.9773218035697937,0.9916224479675293,0.9497097134590149,0.046091627329587936,0.4065394103527069,1.0,2.6383135264040902e-05
26,0.9977096319198608,0.15826255083084106,0.3041520416736603,1e-04,0.9722512364387512,0.9905459880828857,0.9497083425521851,0.045992810279130936,0.4005354940891266,0.5,1.3191567632020451e-05
27,0.9977133870124817,0.15949419140815735,0.302390992641449,1e-04,0.9690906405448914,0.9952425956726074,0.9497063755989075,0.045937445014715195,0.3945351839065552,0.0,0.0
28,0.99769526720047,0.15944379568099976,0.3010038137435913,1e-04,0.9731109142303467,0.9891873598098755,0.9497083425521851,0.04594169184565544,0.38822558522224426,0.0,0.0
29,0.9981445074081421,0.16000202298164368,0.29908373951911926,1e-04,0.9804714322090149,0.9902898669242859,0.9497076869010925,0.04591401293873787,0.38270387053489685,0.0,0.0
